Sigla,Expansão,Categoria,Significado / Uso,Exemplo Tipo (data/arquivo),Notas / Transcrição
"bat. / bap. / bapt.","baptizado / baptismo","termos religiosos","indica baptismo","Bat. 12/05/1743 (registo paroquial)","Variações: bat., bap. e bapt. são comuns"
"n. / nasc.","nascido / nascida","estado civil/filiação","nascido(a)","""n. em 10 de Março""","Muitas vezes aparece com data"
"leg. / legit.","legítimo","estado civil/filiação","filho legítimo","""João, legit.""","Contrapõe-se a ileg."
"ileg. / esp. / espú.","ilegítimo / espúrio","estado civil/filiação","filho fora do casamento","""Maria, ileg.""","esp. = espúrio"
"padr.","padrinho","parentesco","padrinho do baptizado","""António, padr. do bapt.""","Feminino: madr."
"madr. / madr.ª","madrinha","parentesco","madrinha","""Ana, madr.ª""","Supressão de vogais"
"f.º / f.ª","filho / filha","parentesco","parentesco","""Manuel f.º de …""","Também aparece fil."
"ir. / ir.ª / Ir. / Ir.ª","irmão / irmã","parentesco","parentesco","""Luiza Maria Ir.ª""","usado em fogos chefiados por padre ou em ausência dos pais"
"m. / ma.","mãe","parentesco","parentesco","""Francisca, m. de João""","Raro abreviado; ATENÇÃO: ""m."" após f.º/f.ª significa ""menor"" (Observações), NÃO ""mãe"""
"f.º m. / f.ª m.","filho menor / filha menor","parentesco","menor de idade (isento de confissão)","""Catharina f.ª m.""","parentesco = filho/filha; observações = ""menor"""
"p. / pai","pai","parentesco","parentesco","""João p. de …""","p. pode ser ambíguo"
"sobr.º","sobrinho","parentesco","parentesco","""José sobr.º""","Geralmente aparece completo"
"Afilh.º / Afilh.ª / afilh.o / afilh.a","afilhado / afilhada","parentesco","parentesco","""Maria Afilh.ª""","grau de parentesco espiritual; mapear para coluna Parentesco"
"Primo / Prima","primo / prima","parentesco","parentesco","""P.e Jozé Primo""","aparece por extenso; indica grau de parentesco cousin — não confundir com P.e (Padre)"
"viu. / viu.o / viuva","viúvo / viúva","estado civil/filiação","estado civil","""Maria, viu.""","Também V.º"
"soltra. / soltro.","solteira / solteiro","estado civil/filiação","estado civil","""Inês soltra."" (1688)","Muito comum"
"S.ª / S.º","solteira / solteiro","estado civil/filiação","estado civil","""Anna Pr.ª S.ª""","Abreviatura maiúscula — não confundir com apelido"
"cass.do / cass.ª","casado / casada","estado civil/filiação","estado civil","registos de casamento","Pode aparecer caz."
"def.to / def.ta / def.","defunto / defunta","estado civil/filiação","falecido","""João, def.to""","Usado in óbitos"
"test. / testa.","testamento / testador","termos administrativos","acto notarial","documentos notariais","Usado in inventários"
"p.º / P.º","Pedro / Pero","nomes próprios","nome próprio","""P.º Manuel""","Abreviação comum"
"Joaq.m / Joaqq.m / Ioaq.m","Joaquim","nomes próprios","nome próprio","índices paroquiais","q duplicado"
"M.a / Maª","Maria","nomes próprios","nome próprio","""M.a Francisca""","Muito comum"
"Ign.o","Inácio","nomes próprios","nome próprio","registos antigos","Arcaísmo"
"D. / D.ª / D.n","Dom / Dona","tratamentos/títulos","tratamento honorífico","assinaturas","Tratamento nobre, deve ser expandido no Nome Atualizado para Dom ou Dona"
"Fr. / Fri.","Frei","tratamentos/títulos","título religioso","registos conventuais","Variante frade"
"ob. / ol. / oP.e / P.e","Padre","tratamentos/títulos","título religioso","assento paroquial","Usado in cabeçalhos (ob. ou ol. são frequentemente erros de leitura para oP.e)"
"oR.do / R.do","o Reverendo / Reverendo","tratamentos/títulos","título religioso","documentos eclesiásticos","oR.do inclui o artigo ""o""; vai para o nome expandido"
"Arcip. / Arcipreste / Arcipr.e","Arcipreste","tratamentos/títulos","título eclesiástico","rol de confessados séc. XVIII","vai para Observações como ""Arcipreste""; não entra no nome"
"D.or / Dr. / D.tor","Doutor","tratamentos/títulos","título académico","documentos jurídicos","Notariais"
"oD.or / o D.tor","o Doutor","tratamentos/títulos","título académico","documentos jurídicos","Notariais","Variante com artigo ""o"""
"oManjor / o Major / Manjor / Major","Major","tratamentos/títulos","título militar","rol de confessados séc. XVIII","vai para Observações como ""Major""; nunca entra no nome; não confundir com Doutor nem Manoel"
"serv. / serva","servo / serva","termos administrativos","status social","""Manuel, servo de …""","escravo"
"subjecto / subjecta","subjecto","termos administrativos","escravo (latim)","documentos coloniais","forma latinizada"
"mor. / morador","morador","termos administrativos","residência","""mor. da rua …""","residência local"
"nat. / natural","natural de","termos administrativos","origem","""nat. de Braga""","origem geográfica"
"freg. / frg.","freguesia","topónimos","divisão administrativa","""freg. de S. João""","às vezes por extenso"
"pob. / povo","povoação","topónimos","localidade","""pob. de …""","menos comum"
"da / de / d'","de / da / do","apelidos","preposição","""Maria da S.""","parte de apelido"
"daS.a / daS.º","da Silva","apelidos","apelido","""António daS.a"" / ""Manoel daS.º""","forma masculina (daS.º) e feminina (daS.a); determinante colado à sigla"
"Sz.ª","Sousa","apelidos","apelido","""Manuel Sz.ª""","z indica Sousa"
"deSz.ª / deSz.a","de Sousa","apelidos","apelido","""António deSz.ª"" / ""Manoel deSz.º""","forma masculina (deSz.º) e feminina (deSz.ª); determinante colado à sigla"
"Glz / Gliz / Glz.s","Gonçalves","apelidos","apelido","""Manuel Glz.""","comum séc. XVIII"
"Roiz / Riz","Rodrigues","apelidos","apelido","""João Roiz""","-iz indica Rodrigues"
"R.o","Rodrigo","nomes próprios","nome","""R.o Pereira""","abreviado"
"Rib.ro / Rib. / Ribr.o","Ribeiro","apelidos","apelido","""António Rib.ro""","forma clara"
"P.ra / P.ª / Pr.ª / Pr.a","Pereira","apelidos","apelido","""João P.ra"" / ""Anna Pr.ª""","muito frequente; Pr.ª é variante comum nestes registos"
"doSá / dSá / doSª","do Sá","apelidos","apelido","registos paroquiais séc. XVII-XVIII","apelido de origem toponímica; grafia dSá → actualizar para do Sá"
"Vas.cos","Vasconcelos","apelidos","apelido","""João Vas.cos""","encurtamento"
"Fon.ca","Fonseca","apelidos","apelido","""Maria Fon.ca""","abreviação comum"
"Daºseca","da Fonseca","apelidos","apelido","""António Daºseca""","º representa 'o'"
"a.","ano","meses/datas","idade","""1 a.""","idade"
"m.º","mês","meses/datas","data","""m.º de Março""","contexto necessário"
"p.ro","primeiro","meses/datas","data/ordem","""p.ro de Janeiro""","ordinal"
"pr.a / prim.a","primeira","meses/datas","ordinal feminino","""pr.a Ten.ca""","feminino de p.ro; aparece combinado com Ten.ca"
"Ten.ca / Tença","Tença","observações","renda ou pensão anual (eclesiástica ou civil)","rol de confessados séc. XVIII","vai para Observações; aparece combinado com pr.a → ""primeira tença"""
"jur.","juramento","termos administrativos","acto legal","escrituras","notarial"
"proc.","procuração / processo","termos administrativos","documento","notariais","contexto"
"cap. / cap.t","capitão","tratamentos/títulos","título militar","documentos militares","profissão"
"Capp.am / oCapp.am / oCap.am","Capitão","tratamentos/títulos","título militar","rol de confessados séc. XVIII","oCapp.am inclui o artigo ""o""; vai para a coluna Observações"
"mol.","moleiro","termos administrativos","profissão","""João, mol.""","profissão"
"Comp.o / Comp. / Companhr.o","companheiro","parentesco","profissão / condição","rol de confessados séc. XVIII","vai para Parentesco como ""companheiro"" e não para Observações"
"Caixr.o / Caixr / Caxr.o","Caixeiro","parentesco","profissão","rol de confessados séc. XVIII","vai para Parentesco como ""caixeiro"" e não para Observações"
"Mestre","mestre","parentesco","profissão","rol de confessados séc. XVIII","vai para Parentesco como ""mestre"" e não para Observações"
"Apdz. / Aprendiz","aprendiz","parentesco","profissão","rol de confessados séc. XVIII","vai para Parentesco como ""aprendiz"" e não para Observações"
"Aja / Aia / Aja.","Aia","termos administrativos","profissão / condição","rol de confessados séc. XVIII","vai para Observações como ""Aia""; o parentesco passa a ser ""criada"""
"Sacrist. / Sacristão / Sacrista","Sacristão","tratamentos/títulos","função eclesiástica","rol de confessados séc. XVIII","vai para Observações como ""Sacristão""; não entra no nome"
"oleiro / olei.ro","oleiro","termos administrativos","profissão","""Francisco oleiro""","pode abreviar"
"cr.o / cr.ª","criado / criada","termos administrativos","servente doméstico","""Miguel cr.o""","criado doméstico"
"m.er / mul.","mulher","parentesco","esposa","""Ana m.er de …""","esposa"
"hom. / hom","homem / marido","parentesco","marido (referência ao cônjuge ausente)","""hom. abz.""","usado in combinação com abz. para indicar marido ausente"
"abz. / abz","ausente","estado civil/filiação","pessoa ausente do fogo ou do registo","""Maria Fran.ca hom. abz.""","vai para o campo Observações como ""homem ausente"""
"obz. / obz","ausente","estado civil/filiação","variante paleográfica de abz. — pessoa ausente","""Jozé Ant. m.er obz.""","vai para o campo Observações como ""mulher ausente"" (ou ""homem ausente"" consoante contexto)"
"pad.","padeiro","termos administrativos","profissão","""João pad.""","pode ser ambíguo"
"Sego","cego","observações","condição de saúde","","vai para observações as ""cego"""
"Lego","cego","observações","condição de saúde","","vai para observações as ""cego"" (Lego é erro de leitura)"
"Mudo / muda","mudo","observações","condição de saúde","","vai para observações como ""mudo"" ou ""muda"""
"caz. / caz.do","casado / casado","estado civil/filiação","estado civil","""caz. 1750""","grafia antiga"
"Ag.º","Agostinho","nomes próprios","nome próprio / apelido","lista de abreviaturas (compilação)","forma abreviada de Agostinho"
"Alv.º / Allv.º","Álvaro","nomes próprios","nome próprio","lista de abreviaturas (compilação)","variante com dupla consoante"
"Aºseca","Afonseca / d'Afonseca","apelidos","apelido","lista de abreviaturas (compilação)","contração típica de Afonseca / da Fonseca"
"Fr.co / Fr.ca / Fran.co / Fran.ca / Fran.º / Fr.º","Francisco / Francisca","nomes próprios","nome próprio","lista de abreviaturas (compilação)","formas mascul./femin.; ATENÇÃO: Fran.º / Fran.co NÃO são Frz. (Fernandes) — o ""an"" cursivo pode parecer ""z"""
"F.do / Fr.do","Fernando","nomes próprios","nome próprio","lista de abreviaturas (compilação)","Fernando abreviado com ponto"
"Fg.do / Fig.do","Figueiredo","apelidos","apelido","lista de abreviaturas (compilação)","forma com -do final"
"Mart.o","Martinho","nomes próprios","nome próprio","lista de abreviaturas (compilação)","Martinho contraído"
"Xp.to / Xp.vão / X.vao / Xp.am / Xpto.vam","Cristo / Cristovão / Cristãos","termos religiosos","nomes religiosos/abreviação de Cristo","lista de abreviaturas (compilação)","sinais xar e p — usados in fórmulas religiosas"
"7bro / 8bro / 9bro / 10bro","Setembro / Outubro / Novembro / Dezembro","meses/datas","meses (datas)","lista de abreviaturas (compilação)","notação retrograda para meses com -bro"
"L.do","Licenciado","tratamentos/títulos","título académico","lista de abreviaturas (compilação)","usado in ofícios e entradas notariais"
"oL.do","o Licenciado","tratamentos/títulos","título académico","lista de abreviaturas (compilação)","variante com artigo ""o"""
"Dez.or","Desembargador","tratamentos/títulos","cargo/judicial","lista de abreviaturas (compilação)","título jurídico alto"
"S.bam / Seb.am","Sebastião","nomes próprios","nome próprio","lista de abreviaturas (compilação)","forma contraída de Sebastião"
"Miz.ª","Misericórdia","termos religiosos","referência de irmandade/obra","lista de abreviaturas (compilação)","aparece in notas de confrarias"
"Mag.da","Madalena","nomes próprios","nome próprio","lista de abreviaturas (compilação)","variante de Madalena"
"Mad.ra","Madeira","topónimos","apelido / topónimo","lista de abreviaturas (compilação)","forma contraída de Madeira"
"M.cas / Maz / Mas","Mascarenhas","apelidos","apelido","lista de abreviaturas (compilação)","variantes de Mascarenhas"
"X.er","Xavier","nomes próprios","apelido / nome próprio","lista de abreviaturas (compilação)","forma curta de Xavier"
"A.o / Aff.o","Afonso","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","forma contraída de Afonso"
"An.to / An.ta / Ant.o / Ant.a / Ant.º / Ant.ª","António / Antónia","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","formas masc./fem. muito frequentes"
"Subd.","Subd.?","observações","termo incerto","rol de confessados","vai para observações como ""Subd.?"""
"B.ar","Baltazar","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviaatura de Baltazar"
"Marcoz","Marcos","nomes próprios","nome próprio","rol de confessados séc. XVIII","forma gráfica antiga de Marcos"
"Bart.o / B.eu / B.meu","Bartolomeu","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","variantes de Bartolomeu"
"B.or","Belchior","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","nome documentado nos registos"
"C.na / C.ª","Catarina","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","C.ª forma muito comum"
"D.o","Diogo","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","não confundir com D. = Dom"
"D.os / D.as","Domingos / Domingas","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","masc./fem. do mesmo radical"
"D.rte","Duarte","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação típica de Duarte"
"G.ar","Gaspar","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação de Gaspar"
"G.º / Gon.co","Gonçalo","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","não confundir com Glz = Gonçalves"
"H.e","Henrique","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação de Henrique"
"J.mo / Hier.mo","Jerónimo","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","Hier.mo é forma latinizada"
"Joaq.na","Joaquina","nomes próprios","nome próprio feminino","registos paroquiais séc. XVII-XVIII","feminino de Joaquim; Joaq.m já estava na tabela"
"L.co","Lourenço","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação de Lourenço"
"M.el","Manuel","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","forma muito comum; também Man.el"
"Mg.l","Miguel","nomes próprios","nome próprio","registos paroquiais séc. XVII-XVIII","abreviação de Miguel"
